USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 128672  7332 ?        Ss   09:01   0:03 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
iocuser   2474  0.0  0.0 417828  3200 ?        Sl   09:01   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
iocuser   2557  0.0  0.0  72508   780 ?        Ss   09:01   0:00 /usr/bin/ssh-agent /bin/sh -c exec -l /bin/bash -c "env GNOME_SHELL_SESSION_MODE=classic gnome-session --session gnome-classic"
iocuser   2588  0.0  0.0 346828  3752 ?        Sl   09:01   0:00 /usr/libexec/at-spi-bus-launcher
iocuser   2593  0.0  0.0  68392  2472 ?        Sl   09:01   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
iocuser   2596  0.0  0.0 233104  3944 ?        Sl   09:01   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
root      2614  0.0  0.0      0     0 ?        S    11:00   0:00 [kworker/3:0]
iocuser   2625  0.1  1.2 3640796 200436 ?      Sl   09:01   0:14 /usr/bin/gnome-shell
iocuser   2639  0.0  0.0 1204952 4904 ?        S<l  09:01   0:00 /usr/bin/pulseaudio --start --log-target=syslog
iocuser   2654  0.0  0.0 453108  5396 ?        Sl   09:01   0:00 ibus-daemon --xim --panel disable
iocuser   2658  0.0  0.0 375968  3556 ?        Sl   09:01   0:00 /usr/libexec/ibus-dconf
iocuser   2662  0.0  0.0 464844 13712 ?        Sl   09:01   0:00 /usr/libexec/ibus-x11 --kill-daemon
iocuser   2666  0.0  0.0 375968  3352 ?        Sl   09:01   0:00 /usr/libexec/ibus-portal
iocuser   2675  0.0  0.2 1219212 37960 ?       Sl   09:01   0:00 /usr/libexec/gnome-shell-calendar-server
iocuser   2676  0.0  0.0 364708  2628 ?        Sl   09:01   0:00 /usr/libexec/xdg-permission-store
iocuser   2684  0.0  0.2 1691260 40016 ?       Sl   09:01   0:00 /usr/libexec/evolution-source-registry
geoclue   2690  0.0  0.0 531960 14904 ?        Ssl  09:01   0:00 /usr/libexec/geoclue -t 5
iocuser   2701  0.0  0.0 411916  7700 ?        Sl   09:01   0:00 /usr/libexec/mission-control-5
iocuser   2707  0.0  0.1 902844 26992 ?        Sl   09:01   0:00 /usr/libexec/goa-daemon
iocuser   2709  0.0  0.0 415912  5088 ?        Sl   09:01   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
iocuser   2714  0.0  0.0 391604  3372 ?        Sl   09:01   0:00 /usr/libexec/gvfs-mtp-volume-monitor
iocuser   2733  0.0  0.0 527696  8052 ?        Sl   09:01   0:00 /usr/libexec/goa-identity-service
iocuser   2734  0.0  0.0 371560  3132 ?        Sl   09:01   0:00 /usr/libexec/gvfs-goa-volume-monitor
iocuser   2758  0.0  0.0 400696  3624 ?        Sl   09:01   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
iocuser   2767  0.0  0.0 478516  4388 ?        Sl   09:01   0:00 /usr/libexec/gvfs-afc-volume-monitor
iocuser   2783  0.0  0.0 631796 14800 ?        Sl   09:01   0:00 /usr/libexec/gsd-power
iocuser   2786  0.0  0.0 439176  5364 ?        Sl   09:01   0:00 /usr/libexec/gsd-print-notifications
iocuser   2788  0.0  0.0 538876  3284 ?        Sl   09:01   0:00 /usr/libexec/gsd-rfkill
iocuser   2794  0.0  0.0 374188  2968 ?        Sl   09:01   0:00 /usr/libexec/gsd-screensaver-proxy
iocuser   2796  0.0  0.0 559272  5332 ?        Sl   09:01   0:00 /usr/libexec/gsd-sharing
iocuser   2801  0.0  0.0 455000  4724 ?        Sl   09:01   0:00 /usr/libexec/gsd-sound
iocuser   2802  0.0  0.0 615288 14980 ?        Sl   09:01   0:00 /usr/libexec/gsd-xsettings
iocuser   2808  0.0  0.0 549312 14212 ?        Sl   09:01   0:00 /usr/libexec/gsd-wacom
iocuser   2809  0.0  0.0 472488  5060 ?        Sl   09:01   0:00 /usr/libexec/gsd-smartcard
iocuser   2822  0.0  0.0 376500  3232 ?        Sl   09:01   0:00 /usr/libexec/gsd-a11y-settings
iocuser   2824  0.0  0.0 464464 13512 ?        Sl   09:01   0:00 /usr/libexec/gsd-clipboard
iocuser   2827  0.0  0.0 788696 15180 ?        Sl   09:01   0:00 /usr/libexec/gsd-color
iocuser   2828  0.0  0.0 541540  8328 ?        Sl   09:01   0:00 /usr/libexec/gsd-datetime
iocuser   2831  0.0  0.0 463520  4016 ?        Sl   09:01   0:00 /usr/libexec/gsd-housekeeping
iocuser   2832  0.0  0.0 614256 13716 ?        Sl   09:01   0:00 /usr/libexec/gsd-keyboard
iocuser   2838  0.0  0.0 1012084 15732 ?       Sl   09:01   0:00 /usr/libexec/gsd-media-keys
iocuser   2839  0.0  0.0 376504  3228 ?        Sl   09:01   0:00 /usr/libexec/gsd-mouse
iocuser   2843  0.0  0.0 456956  3512 ?        Sl   09:01   0:00 /usr/libexec/gsd-account
iocuser   2877  0.0  0.0 608608  7764 ?        Sl   09:01   0:00 /usr/libexec/gsd-printer
iocuser   2895  0.0  0.1 889576 28556 ?        Sl   09:01   0:00 nautilus-desktop --force
iocuser   2910  0.0  0.0 464776  4572 ?        Sl   09:01   0:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
iocuser   2922  0.0  0.0 273068  3288 ?        Sl   09:01   0:00 /usr/libexec/gsd-disk-utility-notify
iocuser   2926  0.0  0.3 1349692 64212 ?       Sl   09:01   0:01 /usr/bin/gnome-software --gapplication-service
iocuser   2930  0.0  0.0 309864  9656 ?        S    09:01   0:00 /usr/bin/seapplet
iocuser   2937  0.0  0.1 530288 16912 ?        Sl   09:01   0:00 abrt-applet
iocuser   2939  0.0  0.2 1410408 44464 ?       Sl   09:01   0:00 /usr/libexec/evolution/evolution-alarm-notify
iocuser   2951  0.0  0.0 734540 11096 ?        SNl  09:01   0:00 /usr/libexec/tracker-extract
iocuser   2952  0.0  0.2 1359208 39840 ?       Sl   09:01   0:00 /usr/libexec/evolution-calendar-factory
iocuser   2958  0.0  0.0 714432 10724 ?        SNl  09:01   0:00 /usr/libexec/tracker-miner-apps
iocuser   2963  0.0  0.0 649172 11524 ?        SNl  09:01   0:00 /usr/libexec/tracker-miner-fs
iocuser   2978  0.0  0.0 561996  9888 ?        SNl  09:01   0:00 /usr/libexec/tracker-miner-user-guides
iocuser   2995  0.0  0.0 302300  3460 ?        Sl   09:01   0:00 /usr/libexec/ibus-engine-simple
iocuser   3016  0.0  0.0 524984 11044 ?        Sl   09:01   0:00 /usr/libexec/tracker-store
iocuser   3067  0.0  0.0 187400  2852 ?        Sl   09:01   0:00 /usr/libexec/dconf-service
iocuser   3075  0.0  0.2 1777892 38356 ?       Sl   09:01   0:00 /usr/libexec/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2952x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2952/2
iocuser   3098  0.0  0.0 317864  3320 ?        Sl   09:01   0:00 /usr/libexec/gvfsd-metadata
iocuser   3126  0.0  0.2 1344624 39640 ?       Sl   09:01   0:00 /usr/libexec/evolution-addressbook-factory
iocuser   3153  0.0  0.2 1620120 39440 ?       Sl   09:01   0:00 /usr/libexec/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx3126x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/3126/2
root      3166  0.0  0.0 586100  8260 ?        Ssl  09:01   0:00 /usr/libexec/fwupd/fwupd
iocuser   3172  0.0  0.0 536096  3872 ?        Sl   09:01   0:00 /usr/libexec/gvfsd-burn --spawner :1.4 /org/gtk/gvfs/exec_spaw/1
iocuser   3432  0.0  0.1 673136 30168 ?        Sl   09:02   0:02 /usr/libexec/gnome-terminal-server
iocuser   3439  0.0  0.0   8536   740 ?        S    09:02   0:00 gnome-pty-helper
iocuser   3440  0.0  0.0 117120  3736 pts/0    Ss+  09:02   0:00 bash
iocuser   3493  0.0  0.0 117120  3804 pts/1    Ss   09:02   0:00 bash
root      3618  0.0  0.0 158880  5692 ?        Ss   11:52   0:00 sshd: iocuser [priv]
iocuser   3623  0.0  0.0 158880  2632 ?        S    11:52   0:00 sshd: iocuser@pts/2
iocuser   3635  0.0  0.0 117132  3808 pts/2    Ss   11:52   0:00 -bash
root      3853  0.0  0.0      0     0 ?        S    11:55   0:00 [kworker/u9:0]
root      3938  0.0  0.0      0     0 ?        S    11:59   0:00 [kworker/1:2]
root      3986  0.0  0.0      0     0 ?        S<   12:00   0:00 [kworker/1:2H]
iocuser   4222  0.0  0.0 113428  1692 pts/1    S+   12:07   0:00 /bin/bash /home/iocuser/epics/base-7.0.5/require/3.4.0/bin/iocsh.bash elm3604.script
iocuser   4246  1.2  1.2 1860160 209636 pts/1  SLl+ 12:07   0:22 /home/iocuser/epics/base-7.0.5/bin/linux-x86_64/softIocPVA -D /home/iocuser/epics/base-7.0.5/dbd/softIocPVA.dbd /tmp/systemd-private-e3-iocsh-iocuser/tmp.oTgL1ZVoAI_iocsh_3.4.0-PID-4222
root      4258  0.4  0.0      0     0 ?        S    12:07   0:07 [EtherCAT-OP]
root      4809  0.0  0.0      0     0 ?        R    12:20   0:00 [kworker/1:1]
root      4832  0.0  0.0      0     0 ?        S    12:20   0:00 [kworker/u9:1]
root      4907  0.0  0.0      0     0 ?        S    12:22   0:00 [kworker/2:0]
root      5022  0.0  0.0      0     0 ?        S    12:27   0:00 [kworker/2:2]
root      5097  0.0  0.0      0     0 ?        S    12:30   0:00 [kworker/3:1]
root      5148  0.0  0.0      0     0 ?        S    12:33   0:00 [kworker/2:1]
root      5184  0.0  0.0      0     0 ?        S    12:36   0:00 [kworker/1:0]
root      5192  0.0  0.0 108056   356 ?        S    12:36   0:00 sleep 60
iocuser   5196  0.0  0.0 157536  1912 pts/2    R+   12:36   0:00 ps -aux
iocuser   5197  0.0  0.0 108056   668 pts/2    S+   12:36   0:00 tee ps_aux.log
